id,draft_year,pick_number,name,nfl_passer_rating,nfl_attempts,nfl_start_wins,career_nfl_games,power_5,college_career_years,college_career_games,cmp,att,pct,yds,y/a,ay/a,td,int,rate,rsh_att,rsh_yrds,rsh_tds
1,2010,1,Sam Bradford,84.5,2967,34,83,1,3,31,604,893,67.6,8403,9.4,10.6,88,16,175.6,77,36,5
2,2010,25,Tim Tebow,75.3,361,8,35,1,4,53,661,995,66.4,9285,9.3,10.4,88,16,170.8,692,2947,57
3,2010,48,Jimmy Clausen,61.9,472,1,21,1,3,35,695,1110,62.6,8148,7.3,7.3,60,27,137.2,175,-355,5
4,2010,85,Colt McCoy,78.1,989,8,44,1,4,53,1157,1645,70.3,13253,8.1,8.2,112,45,155,447,1571,20
5,2010,122,Mike Kafka,47.7,16,0,4,1,4,30,408,637,64.1,4265,6.7,5.9,19,20,123.9,268,887,11
6,2010,155,John Skelton,63,602,8,20,0,4,43,802,1363,58.8,9923,7.3,7.1,69,36,131.4,296,1216,14
7,2010,168,Jonathan Crompton,0,0,0,0,1,4,35,348,629,55.3,4187,6.7,6.2,36,22,123.1,101,-16,3
8,2010,176,Rusty Smith,29.3,45,0,3,0,4,45,768,1361,56.4,10112,7.4,7.4,76,36,132,115,-335,5
9,2010,181,Dan LeFevour,0,0,0,0,0,4,53,1171,1763,66.4,12905,7.3,7.6,102,36,142.9,671,2948,47
10,2010,199,Joe Webb,63.1,159,1,104,0,4,37,468,792,59.1,5771,7.3,6.8,37,25,129.4,516,2774,24
11,2010,204,Tony Pike,60.1,12,0,1,0,3,27,421,682,61.7,5018,7.4,7.5,49,20,141.4,94,128,3
12,2010,209,Levi Brown,51.4,3,0,1,0,4,23,522,830,62.9,6284,7.6,7.8,38,12,138.7,87,24,1
13,2010,239,Sean Canfield,0,0,0,0,1,4,38,552,861,64.1,5970,6.9,6.5,38,26,130.9,93,-313,3
14,2010,250,Zac Robinson,0,0,0,0,1,4,45,610,999,61.1,8317,8.3,8.3,66,31,146.6,426,1858,22
15,2009,1,Matthew Stafford,89.9,6224,74,165,1,3,39,564,987,57.1,7731,7.8,7.4,51,33,133.3,141,213,6
16,2009,5,Mark Sanchez,73.2,2320,37,79,1,3,27,313,487,64.3,3965,8.1,8.3,41,16,153.9,70,33,4
17,2009,17,Josh Freeman,77.6,2048,25,62,1,3,35,680,1151,59.1,8078,7,6.5,44,34,136.5,214,343,20
18,2009,44,Pat White,39.6,5,0,13,0,4,49,507,783,64.8,6049,7.7,7.8,56,23,147.4,684,4480,47
19,2009,101,Stephen McGee,82.4,82,1,3,1,4,40,485,815,58.5,5475,6.7,6.7,28,13,124.1,387,1750,11
20,2009,151,Rhett Bomar,0,0,0,0,0,3,31,584,1035,56.4,7582,7.3,7,47,29,127.3,257,777,16
21,2009,171,Nate Davis,0,0,0,0,0,3,39,678,1124,60.3,9233,8.2,8.7,74,22,147.1,173,499,10
22,2009,174,Tom Brandstater,39.6,2,0,1,0,4,45,584,989,59,6857,6.9,6.4,47,32,126.5,132,152,8
23,2009,178,Mike Teel,0,0,0,0,0,4,48,661,1142,57.9,9383,8.2,7.3,59,49,135.4,56,-210,2
24,2009,196,Keith Null,49.9,119,0,4,0,,,,,,,,,,,,,,
25,2009,201,Curtis Painter,57.6,287,0,14,1,4,46,987,1648,59.9,11163,6.8,6.3,67,46,124.6,225,348,13
26,2008,3,Matt Ryan,94.5,7443,113,205,1,4,43,807,1347,59.9,9393,6.9,6.5,56,37,126.2,168,58,11
27,2008,18,Joe Flacco,84.1,6066,98,176,0,3,24,596,942,63.3,7057,7.5,7.6,41,15,137.4,153,76,9
28,2008,56,Brian Brohm,26,52,0,3,1,4,44,780,1185,65.8,10775,9.1,9.4,71,24,157.9,172,44,9
29,2008,57,Chad Henne,76.1,1997,18,71,1,4,47,828,1387,59.7,9715,7,7.1,87,37,133.9,180,-315,3
30,2008,94,Kevin O'Connell,73.6,6,0,2,0,4,39,664,1151,57.7,7689,6.7,6.2,46,34,121.1,395,1312,19
31,2008,137,John David Booty,0,0,0,0,1,4,38,518,832,62.3,6125,7.4,7.5,55,21,140.9,61,-180,2
32,2008,156,Dennis Dixon,71.4,59,2,4,1,4,40,444,695,63.9,5129,7.4,7.1,38,21,137.9,258,1208,12
33,2008,160,Josh Johnson,61.7,268,1,33,0,4,44,724,1065,68,9699,9.1,10.6,113,15,176.7,307,1864,19
34,2008,162,Erik Ainge,0,0,0,0,1,4,43,733,1210,60.6,8700,7.2,7.1,72,35,134.8,82,-227,1
35,2008,186,Colt Brennan,0,0,0,0,0,3,38,1115,1584,70.4,14193,9,9.4,131,42,167.6,267,547,15
36,2008,198,Andre' Woodson,0,0,0,0,1,4,44,791,1278,61.9,9360,7.3,7.7,79,25,139.9,232,-490,5
37,2008,209,Matt Flynn,85.9,357,3,53,1,4,41,245,437,56.1,3096,7.1,7.2,31,13,133,128,340,5
38,2008,223,Alex Brink,0,0,0,0,1,4,46,848,1451,58.4,10913,7.5,7.2,76,43,133,246,98,5
39,2007,1,JaMarcus Russell,65.2,680,7,31,1,3,36,493,797,61.9,6625,8.3,8.4,52,21,147.9,139,79,4
40,2007,22,Brady Quinn,64.4,550,4,24,1,4,49,929,1602,58,11762,7.3,7.4,95,39,134.4,254,182,6
41,2007,36,Kevin Kolb,78.9,755,9,34,0,4,50,964,1565,61.6,12964,8.3,8.5,85,31,145.1,472,751,21
42,2007,40,John Beck,67.6,239,0,9,0,4,43,885,1418,62.4,11021,7.8,7.8,79,34,141.3,267,38,9
43,2007,43,Drew Stanton,66.3,659,11,38,1,4,45,543,846,64.2,6524,7.7,7.2,42,28,138.7,332,1512,15
44,2007,92,Trent Edwards,75.7,929,14,38,1,4,35,487,865,56.3,5429,6.3,5.4,36,33,115.1,226,199,2
45,2007,103,Isaiah Stanback,0,0,0,0,1,4,36,269,523,51.4,3868,7.4,7.2,22,12,122.9,234,794,11
46,2007,151,Jeff Rowe,0,0,0,2,0,5,45,682,1122,60.8,7862,7,6.7,55,33,129.9,317,561,13
47,2007,174,Troy Smith,78.5,234,4,20,1,4,43,420,670,62.7,5720,8.5,9.3,54,13,157.1,293,1168,14
48,2007,205,Jordan Palmer,28.7,18,0,5,0,4,46,851,1427,59.6,11084,7.8,7,88,64,136.3,216,-43,7
49,2007,217,Tyler Thigpen,72.5,509,1,29,0,4,44,486,879,55.3,6598,7.5,7.432309443,53,25,114.6441411,346,1626,13
50,2006,3,Vince Young,74.4,1304,31,60,1,3,37,444,718,61.8,6040,8.4,7.9,44,28,144.9,457,3127,37
51,2006,10,Matt Leinart,70.2,641,8,33,1,3,39,807,1245,64.8,10693,8.6,9.3,99,23,159.5,132,-70,9
52,2006,11,Jay Cutler,85.3,4920,74,153,1,4,45,710,1242,57.2,8697,7,6.6,59,36,125.9,453,1256,17
53,2006,49,Kellen Clemens,68.9,638,8,64,1,4,37,613,1005,61,7555,7.5,7.7,61,24,139.4,273,535,6
54,2006,64,Tarvaris Jackson,78.5,1073,17,59,0,5,45,516,955,54,7397,6.7,7.860732984,64,26,115.8605236,275,938,11
55,2006,81,Charlie Whitehurst,74.9,396,2,26,1,4,44,817,1368,59.7,8665,7.1,6.3,49,46,124.2,266,98,10
56,2006,85,Brodie Croyle,67.8,319,0,18,1,4,39,488,869,56.2,6382,7.3,7.1,41,22,128.4,183,-177,4
57,2006,148,Ingle Martin,0,0,0,1,0,2,16,54,87,62.1,750,8.6,8.3,3,2,141.3,25,70,0
58,2006,164,Omar Jacobs,0,0,0,0,0,3,25,523,811,64.5,6938,8.6,9.7,71,11,162.5,153,451,7
59,2006,193,Reggie McNeal,0,0,0,7,1,4,42,478,875,54.6,6992,8,7.8,44,23,133.1,411,1889,15
60,2006,194,Bruce Gradkowski,65.8,709,6,37,0,4,49,766,1123,68.2,9225,8.2,8.6,85,27,157.4,248,1018,14
61,2006,223,D.J. Shockley,0,0,0,0,1,4,38,240,443,54.2,3555,8,8.6,34,9,142.8,154,643,7
62,2005,1,Alex Smith,86.9,5193,99,174,0,3,25,389,587,66.3,5203,8.9,9.9,47,8,164.4,286,1072,15
63,2005,24,Aaron Rodgers,103.9,6587,126,197,1,2,25,424,665,63.8,5469,8.2,8.6,43,13,150.3,160,336,8
64,2005,25,Jason Campbell,81.7,2518,32,90,1,4,48,552,854,64.6,7299,8.5,8.3,45,24,148.2,249,307,9
65,2005,67,Charlie Frye,69.7,677,7,26,0,4,46,913,1436,63.6,11049,7.7,7.6,64,32,138.5,375,429,19
66,2005,69,Andrew Walter,52.6,333,2,15,1,4,48,777,1416,54.9,10617,7.5,7.6,85,36,132.6,175,-475,0
67,2005,85,David Greene,0,0,0,0,1,4,51,849,1440,55,11528,8,8,72,32,138.3,204,-258,5
68,2005,106,Kyle Orton,81.2,2712,42,87,1,4,44,786,1336,58.8,9337,7,7,63,28,128.9,271,316,6
69,2005,121,Stefan Lefors,0,0,0,0,1,4,49,416,630,66,5853,9.3,9.6,38,13,159.8,146,756,6
70,2005,145,Dan Orlovsky,75.3,512,2,26,0,4,46,916,1567,58.5,10706,6.8,6.4,84,51,127,143,-285,6
71,2005,152,Adrian McPherson,0,0,0,0,1,2,18,98,192,51,1215,6.3,7.6,14,1,127.2,71,196,0
72,2005,213,Derek Anderson,70.4,1674,20,78,1,4,49,768,1515,50.7,11249,7.4,6.8,79,57,122.7,182,-533,8
73,2005,229,James Kilian,0,0,0,0,0,4,37,410,758,54.1,4865,6.4,5.6,36,30,115.8,329,1083,19
74,2005,230,Matt Cassel,78.5,2683,36,107,1,4,34,20,33,60.6,192,5.8,4.5,0,1,103.4,11,32,0
75,2005,250,Ryan Fitzpatrick,82.3,5054,59,165,0,4,43,384,641,59.9,5234,8.2,8.3,39,15,125.8,365,1487,16
76,2004,1,Eli Manning,84.1,8119,117,236,1,4,43,829,1363,60.8,10119,7.4,7.5,81,35,137.7,128,-135,5
77,2004,4,Philip Rivers,95.2,8134,134,244,1,4,49,1087,1710,63.6,13484,7.9,8.1,95,34,144.2,252,96,17
78,2004,11,Ben Roethlisberger,94,7838,156,233,0,3,38,854,1304,65.5,10829,8.3,8.4,84,34,151.3,269,246,7
79,2004,22,J.P. Losman,75.6,952,10,45,0,4,38,570,987,57.8,6754,6.8,6.8,60,27,129.8,237,241,10
80,2004,90,Matt Schaub,89.5,3348,47,155,1,4,40,716,1069,67,7502,7,7,56,26,138.4,132,58,5
81,2004,106,Luke McCown,71.3,356,2,62,0,4,43,1063,1775,59.9,12666,7.1,6.5,87,62,129,274,65,10
82,2004,148,Craig Krenzel,52.5,127,3,6,1,4,33,328,577,56.8,4489,7.8,7.1,28,21,130.9,247,600,6
83,2004,185,Andy Hall,0,0,0,0,0,2,9,19,43,44.2,299,7,5.3,1,2,101,24,83,1
84,2004,187,Josh Harris,0,0,0,0,0,4,42,627,1028,61,7503,7.3,7.1,55,28,134.5,596,2473,43
85,2004,193,Jim Sorgi,89.9,156,0,16,1,4,39,288,519,55.5,4498,8.7,8.1,33,21,141.2,138,-32,4
86,2004,201,Jeff Smoker,0,0,0,0,1,4,41,685,1150,59.6,8932,7.8,7.3,61,39,135.5,255,-218,7
87,2004,202,John Navarre,43.9,64,0,2,1,4,46,744,1327,56.1,9014,6.8,6.8,70,30,126,144,-241,2
88,2004,217,Cody Pickett,16.4,45,0,6,1,5,38,792,1373,57.7,9916,7.2,6.6,53,42,125,249,-186,11
89,2004,218,Casey Bramlet,0,0,0,0,0,4,40,767,1378,55.7,9684,7,6.3,56,48,121.1,296,-109,14
90,2004,225,Matt Mauck,53.9,27,0,2,1,3,23,310,529,58.6,3831,7.2,7.1,37,18,135.7,149,345,5
91,2004,248,B.J. Symons,0,0,0,0,1,4,31,529,822,64.4,6378,7.8,7.8,59,25,147.1,100,208,6
92,2004,250,Bradlee Van Pelt,39.6,8,0,2,0,3,38,424,778,54.5,6165,7.9,7.1,37,30,129,420,2274,25
93,2003,1,Carson Palmer,87.9,6307,92,182,1,5,53,927,1569,59.1,11818,7.5,7,72,49,131.2,255,-197,9
94,2003,7,Byron Leftwich,78.9,1605,24,60,0,5,61,939,1442,65.1,11903,8.3,8.6,89,28,150.9,190,181,6
95,2003,19,Kyle Boller,69.5,1519,20,67,1,4,43,622,1301,47.8,7980,6.1,5.5,64,48,108.2,275,-169,6
96,2003,22,Rex Grossman,71.4,1562,25,54,1,3,35,687,1110,61,9164,8.3,8.2,77,36,146.7,119,-133,6
97,2003,88,Dave Ragone,47.4,40,0,2,1,4,41,685,1180,58.1,8564,7.3,7.4,74,29,134.8,326,597,9
98,2003,97,Chris Simms,69.1,511,7,23,1,4,41,535,911,58.1,7097,7.8,7.5,58,31,138.4,159,-137,10
99,2003,110,Seneca Wallace,80.8,788,6,64,1,2,25,411,712,57.7,5289,7.4,6.5,26,27,124.6,237,912,15
100,2003,163,Brian St. Pierre,45.6,33,0,3,1,4,44,457,803,56.9,5837,7.3,6.7,48,32,129.7,172,419,2
101,2003,192,Drew Henson,64.2,20,1,9,1,3,24,196,351,55.8,2631,7.5,7.9,22,7,135.5,60,74,4
102,2003,200,Brooks Bollinger,74.6,360,2,21,1,4,46,414,771,53.7,5627,7.3,7.3,38,17,126.9,518,1767,26
103,2003,201,Kliff Kingsbury,79.2,2,0,1,1,4,43,1231,1883,65.4,12429,6.6,6.7,95,40,133.2,273,-166,5
104,2003,232,Gibran Hamdan,58.3,2,0,1,1,3,30,155,229,51.8,2172,7.3,5.8,10,14,114.5,57,-43,1
105,2003,241,Ken Dorsey,55.2,408,2,17,1,4,41,668,1153,57.9,9565,8.3,8.7,86,28,147.4,59,-79,2
106,2002,1,David Carr,74.9,2267,23,94,0,4,36,565,901,62.7,7458,8.3,8.6,65,22,151.2,175,95,9
107,2002,3,Joey Harrington,69.4,2538,26,81,1,4,34,512,928,55.2,6911,7.4,7.6,59,23,133.8,145,210,18
108,2002,32,Patrick Ramsey,74.9,913,10,37,0,4,35,798,1355,58.9,9205,6.8,6.2,72,51,126,152,-128,4
109,2002,81,Josh McCown,79.7,2633,23,102,0,3,30,340,664,51.2,4022,6.1,4.6,27,34,105.3,198,201,4
110,2002,108,David Garrard,85.8,2281,39,86,0,4,44,666,1169,57,9029,7.7,7.2,60,39,132.1,516,1209,21
111,2002,117,Rohan Davey,56.5,19,0,7,1,4,25,286,478,59.8,4415,9.2,9,29,15,151.2,66,77,0
112,2002,137,Randy Fasani,8.8,44,0,1,1,4,36,188,369,50.9,2973,8.1,8.1,25,11,135,127,317,6
113,2002,158,Kurt Kittner,32.5,44,1,7,0,4,42,668,1229,54.4,8460,6.9,6.7,66,33,124.5,192,168,8
114,2002,163,Brandon Doman,0,0,0,0,0,4,32,313,504,62.1,4354,8.6,8.8,35,14,152,184,673,11
115,2002,164,Craig Nall,123.8,48,0,7,0,3,16,35,79,44.3,431,5.5,3.2,0,4,80,16,-65,0
116,2002,186,J.T. O'Sullivan,69.9,257,2,17,0,,,,,,,,,,,,,,
117,2002,205,Steve Bellisari,0,0,0,0,1,4,45,365,724,50.4,5558,7.7,6.8,33,28,122.2,295,608,5
118,2002,216,Seth Burford,0,0,0,0,0,,,,,,,,,,,,,,
119,2002,232,Jeff Kelly,0,0,0,0,0,4,40,571,975,58.6,7095,7.3,6.8,51,32,130.4,296,18,8
120,2002,235,Ronald Curry,0,4,0,76,1,4,37,345,695,49.6,4987,7.2,5.7,28,35,113.1,348,1249,13
121,2002,236,Wes Pate,0,0,0,0,0,1,10,12,26,46.2,149,5.7,5.5,2,1,112,5,27,0
122,2001,1,Michael Vick,80.4,3217,61,143,1,2,22,192,343,56,3299,9.6,9.4,21,11,150.6,235,1299,17
123,2001,32,Drew Brees,98.7,10551,172,287,1,4,45,1026,1678,61.1,11792,7,6.9,90,45,132.5,253,900,14
124,2001,53,Quincy Carter,71.7,960,18,38,1,3,29,483,853,56.6,6447,7.6,7.1,35,25,127.8,251,606,11
125,2001,59,Marques Tuiasosopo,48.1,90,0,13,1,4,42,418,761,54.9,5501,7.2,6.4,31,28,121.7,346,1374,20
126,2001,106,Chris Weinke,62.2,709,2,29,1,4,36,650,1107,58.7,9839,8.9,9,79,32,151.1,110,-366,2
127,2001,109,Sage Rosenfels,81.2,562,6,44,1,4,30,306,587,52.1,4164,7.1,5.7,18,26,113,164,660,14
128,2001,125,Jesse Palmer,59.8,120,0,8,1,4,27,254,479,53,3755,7.8,7.5,31,17,133.1,67,-124,6
129,2001,149,Mike McMahon,55.1,515,3,29,1,4,35,482,974,49.5,6608,6.8,5.2,41,52,109.7,214,185,8
130,2001,155,A.J. Feeley,69.1,762,8,28,1,4,22,149,282,52.8,2175,7.7,7.8,15,6,130,37,0,1
131,2001,172,Josh Booty,0,0,0,0,1,2,20,307,623,49.3,3951,6.3,4.7,24,34,104.3,53,-83,0
132,2001,177,Josh Heupel,0,0,0,0,1,2,24,615,972,63.3,7066,7.3,6.9,50,30,135.1,130,69,12
133,2000,18,Chad Pennington,90.1,2471,44,89,0,3,38,848,1331,63.6,11446,8.6,9.2,107,30,157.6,168,61,4
134,2000,65,Giovanni Carmazzi,0,0,0,0,0,4,,764,,,9371,,,71,,,,,
135,2000,75,Chris Redman,78.6,500,4,31,1,4,43,1031,1679,61.4,12541,7.5,7.1,84,51,134.6,167,-412,3
136,2000,163,Tee Martin,25.3,16,0,3,1,4,38,326,588,55.4,4592,7.8,7.7,32,16,133.6,204,614,16
137,2000,168,Marc Bulger,84.4,3171,41,96,1,4,38,630,1023,61.6,8153,8,7.6,59,34,140.9,107,-326,2
138,2000,183,Spergon Wynn,39.5,152,0,10,1,1,2,0,1,0,0,0,-45,0,1,-200,3,8,0
139,2000,199,Tom Brady,97.3,10598,230,301,1,4,29,395,638,61.9,4773,7.5,7.2,30,17,134.9,90,-150,3
140,2000,202,Todd Husak,79.2,2,0,1,1,4,36,465,872,53.3,6564,7.5,7.2,41,24,126.6,99,-136,3
141,2000,205,JaJuan Seider,0,0,0,0,0,3,7,7,16,43.8,133,8.3,8.3,0,0,113.6,15,4,0
142,2000,212,Tim Rattay,81.9,714,5,40,0,3,33,1015,1552,65.4,12746,8.2,8.7,115,35,154.3,153,-103,2
143,2000,214,Jarious Jackson,46.4,22,0,5,1,4,36,306,536,57.1,4820,9,8.5,34,21,145.7,272,957,13
144,2000,234,Joe Hamilton,0,0,0,0,1,4,43,629,1020,61.7,8882,8.7,8.3,65,39,148.2,501,1758,18